Site,Tb,Temp Air
CRG,34.6,25.7
CRG,37.1,23.1
CRG,36.2,30.9
CRG,38.2,24.5
CRG,37.9,22.6
CRG,36.6,25.6
CRG,34.2,23.9
CRG,36.4,24
CRG,35.6,23.7
CRG,36,22.9
CRG,36,24.9
CRG,35,25.6
CRG,36.5,24.8
CRG,34.9,26.8
CRG,33.5,22.6
CRG,35.4,22
CRG,35.6,24.5
CRG,34.4,23.3
CRG,36.5,23.9
CRG,36.6,25.8
CRG,35.2,25.1
CRG,35.2,22.7
CRG,35.5,25.6
CRG,36.5,25.6
CRG,37.4,25.8
CRG,36.4,26.1
CRG,36.7,23.6
CRG,35.2,29.4
CRG,34.5,19.8
CRG,37.5,25.3
CRG,35.2,25.5
CRG,34.5,22.7
CRG,36.9,25.6
CRG,36,22.6
CRG,38.3,29.9
CRG,36,22.7
CRG,36.8,22.7
CRG,34.4,21.1
CRG,35.5,23.2
CRG,35.8,25.8
GW,35.4,23.1
GW,36.5,32.8
GW,35.8,36.1
GW,36,31.8
GW,33.4,31.2
GW,35.4,31.5
GW,36,26
GW,35,29.5
GW,35.6,32.2
GW,35.9,31
GW,36,30.3
GW,37.4,29.2
GW,38.2,31.8
GW,34,34.9
GW,35.4,34.9
GW,37.7,33.9
GW,35,20.2
GW,36.5,29.6
GW,34.7,26.3
GW,37.6,26.3
GW,35.2,31.9
GW,34.4,32.2
GW,33.5,28.9
GW,34,31.2
GW,36.8,31.6
GW,34.4,29.7
GW,36.8,33.1
GW,34.3,27.8
GW,34.5,26.6
GW,33.5,31.2
GW,35.8,31.6
GW,35.2,26.7
GW,37.1,31.3
GW,35.8,31.5
GW,35.8,30.1
GW,34.8,21.7
GW,36.5,24.8
GW,36.2,28.2
GW,36.5,31.5
GW,36.2,31.6
GW,36.1,20.2
GW,34.8,27.8
GW,36,26.8
GW,36.4,28.1
GW,35.6,27.2
GW,36.5,29.2
GW,35.3,27.5
GW,35.8,26.6
GW,35.2,31
GW,36.2,29.7
GW,36.2,34.6
GW,36.4,32.7
GW,35.5,31.5
GW,38,32.8
GW,34.6,28.2
CS,35.1,20.1
CS,36.6,20.2
CS,33,20.9
CS,35.2,20.9
CS,35.1,21.1
CS,34.4,21.2
CS,34.7,21.2
CS,32.8,21.3
CS,33.6,21.4
CS,35,21.4
CS,33,21.9
CS,34.4,21.9
CS,35,22.7
CS,34.5,22.8
CS,34,22.9
CS,34.5,22.9
CS,36,23
CS,35.1,26.4
CS,34.2,27.5
CS,36.2,27.5
CS,35.6,29.4
CS,34.3,29.6
CS,35.8,29.6
CS,37.2,29.6
CS,37.8,29.6
CS,37.4,29.8
CS,36.3,30.7
CS,36.7,31
CS,35.2,31.1
CS,36.7,31.2
