Site,Sex,Season,SVL,Mass
CRG,F,Early,59.50000003,6.59
CRG,F,Early,48.5,3.16
CRG,F,Early,51.50000002,3.86
CRG,M,Early,55.50000001,5.16
CRG,M,Early,51.00000001,3.67
CRG,M,Early,71,11.45
CRG,M,Early,51.50000002,4.01
CRG,M,Early,54.50000002,4.73
CRG,M,Early,66.99999997,9.39
CRG,M,Early,57.50000001,5.88
CRG,M,Early,50.49999999,3.78
CRG,M,Early,57.50000001,6.48
CRG,M,Early,70,9.56
CRG,M,Early,69.50000003,11.13
CRG,M,Early,67.50000001,9.94
CRG,M,Early,48.99999999,4.04
CS,F,Early,65.00000001,9.45
CS,F,Early,68.49999998,12.48
CS,F,Early,45.00000001,3.77
CS,F,Early,72.50000001,11.14
CS,F,Early,49.99999998,4.03
CS,F,Early,45.00000001,2.94
CS,M,Early,35.99999998,1.96
CS,M,Early,72,13.34
CS,M,Early,70.50000001,11.72
CS,M,Early,72.99999999,12.31
CS,M,Early,62,8.91
CS,M,Early,72.50000001,11.88
CS,M,Early,70.50000001,11.86
CS,M,Early,71.50000002,11.18
CS,M,Early,70,11.5
GW,F,Early,48,3.62
GW,F,Early,44,1.62
GW,F,Early,72,10.28
GW,F,Early,44,2.74
GW,F,Early,38.99999999,1.9
GW,F,Early,43.5,2.61
GW,M,Early,75.99999998,12.32
GW,M,Early,68.49999998,10.69
GW,M,Early,73.49999998,11.12
GW,M,Early,72,10.36
GW,M,Early,72.50000001,10.99
GW,M,Early,69.00000003,12.1
GW,M,Early,36.50000002,1.42
GW,M,Early,70.50000001,9.86
GW,M,Early,66.99999997,10.73
GW,M,Early,45.5,2.74
GW,M,Early,49.50000002,3.58
GW,M,Early,71.50000002,10.38
GW,M,Early,74.49999997,11.75
GW,M,Early,69.00000003,9.71
GW,M,Early,73.49999998,11.8
CRG,F,Late,71.50000002,10.77
CRG,F,Late,69.50000003,9.1
CRG,F,Late,70,10.2
CRG,F,Late,68.49999998,8.52
CRG,F,Late,70.50000001,10.24
CRG,F,Late,73.49999998,11.37
CRG,F,Late,77.49999997,13.51
CRG,F,Late,72,9.98
CRG,F,Late,67.99999999,8.47
CRG,F,Late,71,10.66
CRG,F,Late,75.49999998,12.53
CRG,F,Late,77.49999997,14.59
CRG,F,Late,71,11.6
CRG,F,Late,77.49999997,13.36
CRG,F,Late,70.50000001,12.73
CRG,F,Late,73.99999998,12.46
CRG,M,Late,62.50000002,6.81
CRG,M,Late,65.50000002,10.4
CRG,M,Late,62.99999998,7.46
CRG,M,Late,61.50000001,7.37
CRG,M,Late,65.00000001,8.36
CRG,M,Late,65.00000001,7.69
CRG,M,Late,62.99999998,7.99
CRG,M,Late,66.99999997,7.92
CRG,M,Late,62.50000002,8.04
CRG,M,Late,67.50000001,8.56
CRG,M,Late,65.00000001,9.21
CRG,M,Late,66,9.12
CRG,M,Late,73.49999998,10.73
CRG,M,Late,71,11.14
CRG,M,Late,69.00000003,9.55
CRG,M,Late,44.49999999,2.61
CRG,M,Late,70.50000001,10.01
CRG,M,Late,69.50000003,10.58
CRG,M,Late,63.25000002,7.79
CRG,M,Late,66,9.85
CRG,M,Late,67.99999999,10.92
CRG,M,Late,66.50000002,10.19
CRG,M,Late,41.99999999,2.51
CS,F,Late,63.99999998,8.79
CS,F,Late,66,9.59
CS,F,Late,37.00000001,1.57
CS,F,Late,34.5,1.19
CS,F,Late,56.00000001,6.11
CS,F,Late,71,12.08
CS,F,Late,69.50000003,13.16
CS,F,Late,61.50000001,7.88
CS,F,Late,72.50000001,13.84
CS,F,Late,67.50000001,11.87
CS,F,Late,72,14.61
CS,F,Late,56.49999999,5.33
CS,F,Late,65.00000001,9.6
CS,F,Late,68.75000003,12.02
CS,F,Late,62,9.12
CS,M,Late,69.00000003,11.43
CS,M,Late,61.50000001,8.07
CS,M,Late,65.00000001,8.39
CS,M,Late,62,7.21
CS,M,Late,69.00000003,11.8
CS,M,Late,60.99999999,8.46
CS,M,Late,57.00000001,5.8
CS,M,Late,62.50000002,8.21
CS,M,Late,65.50000002,9.5
CS,M,Late,66.50000002,10.45
CS,M,Late,69.50000003,13.55
CS,M,Late,67.99999999,11.75
CS,M,Late,69.50000003,12.39
CS,M,Late,69.75000002,13.04
CS,M,Late,51.50000002,5.01
CS,M,Late,66.99999997,10.52
CS,M,Late,63.50000001,9.46
CS,M,Late,72.75,14.16
CS,M,Late,60.99999999,9.04
CS,M,Late,59.99999999,8.17
CS,M,Late,69.50000003,12.41
CS,M,Late,68.49999998,9.79
GW,F,Late,71.50000002,13.48
GW,F,Late,72,12.89
GW,F,Late,80.49999997,18.77
GW,F,Late,69.00000003,9.74
GW,F,Late,69.50000003,12.14
GW,F,Late,69.50000003,10.9
GW,F,Late,73.99999998,12.41
GW,F,Late,69.00000003,10.72
GW,F,Late,67.99999999,10.66
GW,F,Late,33.50000001,1.19
GW,F,Late,72.50000001,12.56
GW,F,Late,72.99999999,15.84
GW,F,Late,38.99999999,2.02
GW,F,Late,72,13.57
GW,F,Late,38.49999999,1.81
GW,F,Late,78.50000002,18.57
GW,F,Late,66.50000002,11.09
GW,F,Late,67.99999999,12.18
GW,F,Late,41.00000001,1.98
GW,F,Late,38.99999999,1.83
GW,F,Late,72.50000001,13.67
GW,F,Late,70,11.34
GW,F,Late,73.99999998,14.41
GW,F,Late,63.50000001,8.67
GW,F,Late,78.50000002,18.21
GW,F,Late,77.49999997,13.57
GW,F,Late,66,9.18
GW,F,Late,66.99999997,8.08
GW,F,Late,77.49999997,17.66
GW,F,Late,69.00000003,10.12
GW,F,Late,70,11.31
GW,F,Late,70.50000001,11.42
GW,F,Late,69.00000003,10.63
GW,F,Late,75.00000003,15.63
GW,F,Late,69.50000003,10.14
GW,F,Late,75.00000003,15.29
GW,M,Late,72,15.09
GW,M,Late,70.50000001,11.38
GW,M,Late,71,12.41
GW,M,Late,60.5,7.52
GW,M,Late,66.50000002,9.1
GW,M,Late,67.50000001,8.46
GW,M,Late,63.50000001,8.88
GW,M,Late,66,9.17
GW,M,Late,64.50000001,8.24
GW,M,Late,66.50000002,8.74
GW,M,Late,66.99999997,9.55
GW,M,Late,71,13.41
GW,M,Late,71.50000002,13.73
GW,M,Late,66.99999997,10.74
GW,M,Late,44,3.12
GW,M,Late,68.49999998,10.68
GW,M,Late,62,7.62
GW,M,Late,62,7.76
GW,M,Late,72,15.47
GW,M,Late,66.99999997,9.86
GW,M,Late,72.99999999,12.9
GW,M,Late,67.50000001,10.56
