ID,Site,Mass_g,Resp_mLperHr,Temp ,FIG
W12,CRG,10.66,1.32525,28,Empty
X60,CRG,9.85,1.37775,28,Empty
L71-B,CRG,13.36,1.882125,28,Empty
WW19,CRG,12.46,1.683,28,Empty
A17,CRG,11.14,1.3176,28,Empty
A30,CRG,8.47,0.8748,28,Empty
W31,CRG,10.05,1.1844,28,Empty
X91,CRG,9.55,1.0242,28,Empty
X53,CRG,10.73,1.50435,28,Empty
W89,CRG,10.66,1.1268,28,Empty
X57,CRG,10.01,0.9603,28,Empty
W92,CRG,10.24,1.4265,28,Empty
X74,CRG,8.54,0.94995,28,Empty
W116,CRG,12.53,1.692,28,Empty
A21,GW,11.34,1.6725375,28,Empty
W310,GW,11.87,1.756755,28,Empty
L16,GW,13.67,1.952916,28,Empty
L53,GW,13.57,1.92825,28,Empty
R71,GW,7.62,1.483464,28,Empty
X82,GW,7.9,1.4374305,28,Empty
X87,GW,8.67,1.497,28,Empty
X102,GW,14.41,1.987875,28,Empty
W43,GW,15.47,2.856,28,Empty
W100,GW,13.45,1.8375,28,Empty
W101,GW,10.56,1.315125,28,Empty
X7,GW,9.86,1.92075,28,Empty
X33,GW,10.41,1.58775,28,Empty
X149,GW,12.9,1.658625,28,Empty
W49,GW,8.48,1.2879,28,Empty
A29,GW,8.74,1.0764,28,Empty
W25,GW,8.88,1.0404,28,Empty
X21,GW,9.11,1.0296,28,Empty
WW26,GW,9.17,1.1817,28,Empty
X99,GW,9.55,1.2456,28,Empty
L69,GW,9.74,1.503,28,Empty
W85,GW,10.72,1.8162,28,Empty
L29,GW,12.81,1.4625,28,Empty
X39,GW,13.47,1.8432,28,Empty
X150,GW,18.77,3.5649,28,Empty
J11,GW,13.73,2.6262,28,Empty
X66,GW,10.74,1.4589,28,Empty
X82,GW,18.57,3.4632,28,Empty
L19,CS,7.88,1.19775,28,Empty
L37,CS,9.79,1.390875,28,Empty
R68,CS,13.04,2.54625,28,Empty
W67,CS,14.78,3.16875,28,Empty
WW25,CS,13.92,2.58075,28,Empty
X34,CS,12.39,2.162625,28,Empty
W6,CS,8.29,1.265625,28,Empty
W18,CS,11.87,2.12175,28,Empty
W109,CS,8.43,1.240125,28,Empty
X78,CS,13.84,2.0385,28,Empty
X108,CS,10.52,1.9485,28,Empty
W46,CS,9.12,1.237875,28,Empty
W59,CS,9.6,1.519125,28,Empty
W103,CS,14.16,2.5575,28,Empty
W48,CS,12.02,1.96125,28,Empty
W93-B,CRG,10.58,0.820125,20,FIG
W12,CRG,10.66,0.934125,20,FIG
W115,CRG,7.79,0.50025,20,FIG
X60,CRG,9.85,0.645,20,FIG
L66,CRG,10.19,0.652875,20,FIG
L71-B,CRG,13.36,0.977625,20,FIG
WW19,CRG,12.46,1.2285,20,FIG
A30,CRG,8.47,0.61725,20,FIG
W31,CRG,10.05,0.7485,20,FIG
X91,CRG,9.55,0.52275,20,FIG
X53,CRG,10.73,0.783,20,FIG
W89,CRG,10.66,0.65025,20,FIG
X57,CRG,10.01,0.7659,20,FIG
W92,CRG,10.18,0.7911,20,FIG
W116,CRG,12.53,1.04925,20,FIG
W93-B,CRG,10.58,1.525875,28,FIG
W12,CRG,10.66,1.43175,28,FIG
W115,CRG,7.79,1.227,28,FIG
X60,CRG,9.85,1.915125,28,FIG
L66,CRG,10.19,1.2555,28,FIG
L71-B,CRG,13.36,2.15325,28,FIG
WW19,CRG,12.46,1.7445,28,FIG
A30,CRG,8.47,1.0494,28,FIG
W31,CRG,10.05,1.2924,28,FIG
X91,CRG,9.55,1.1727,28,FIG
X53,CRG,10.73,1.48815,28,FIG
W89,CRG,10.66,2.04345,28,FIG
X57,CRG,10.01,1.3797,28,FIG
W92,CRG,10.18,1.4283,28,FIG
W116,CRG,12.53,2.13165,28,FIG
W93-B,CRG,10.58,3.949125,36,FIG
W12,CRG,10.66,4.32675,36,FIG
W115,CRG,7.79,2.93925,36,FIG
X60,CRG,9.85,3.519,36,FIG
L66,CRG,10.19,2.8635,36,FIG
L71-B,CRG,13.36,3.562875,36,FIG
WW19,CRG,12.46,2.8965,36,FIG
A17,CRG,11.14,3.627,36,FIG
A30,CRG,8.47,2.9367,36,FIG
W31,CRG,10.05,3.294,36,FIG
X91,CRG,9.55,2.3427,36,FIG
X53,CRG,10.73,3.0933,36,FIG
W89,CRG,10.66,3.0654,36,FIG
X57,CRG,10.01,3.18465,36,FIG
W92,CRG,10.18,2.39355,36,FIG
W116,CRG,12.53,2.6757,36,FIG
W43,GW,15.47,1.47675,20,FIG
W100,GW,13.45,0.981,20,FIG
W101,GW,10.56,0.768375,20,FIG
X33,GW,10.41,0.849375,20,FIG
X149,GW,12.9,1.0395,20,FIG
W49,GW,8.48,0.591,20,FIG
A29,GW,8.74,0.5505,20,FIG
W25,GW,8.88,0.489,20,FIG
X21,GW,9.11,0.6195,20,FIG
WW26,GW,9.17,0.56175,20,FIG
L69,GW,9.74,0.6375,20,FIG
W85,GW,10.72,0.9405,20,FIG
L29,GW,12.81,0.90075,20,FIG
X39,GW,13.47,0.8115,20,FIG
X150,GW,18.77,1.416,20,FIG
X66,GW,10.74,0.7005,20,FIG
J11,GW,13.73,1.0185,20,FIG
X82,GW,18.57,1.701,20,FIG
L53,GW,13.57,3.03375,28,FIG
W43,GW,15.47,2.9715,28,FIG
W100,GW,13.45,2.07825,28,FIG
W101,GW,10.56,1.417125,28,FIG
X7,GW,9.86,1.991625,28,FIG
X33,GW,10.41,1.701375,28,FIG
X149,GW,12.9,2.74275,28,FIG
W49,GW,8.48,1.50444,28,FIG
A29,GW,8.74,1.4688,28,FIG
W25,GW,8.88,1.584,28,FIG
X21,GW,9.11,1.6191,28,FIG
WW26,GW,9.17,1.9512,28,FIG
L69,GW,9.74,1.8432,28,FIG
W85,GW,10.72,2.33505,28,FIG
L29,GW,12.81,1.827,28,FIG
X39,GW,13.47,2.3229,28,FIG
X150,GW,18.77,5.1741,28,FIG
J11,GW,13.73,3.4965,28,FIG
L53,GW,13.57,3.73425,36,FIG
R71,GW,7.62,2.2065,36,FIG
W43,GW,15.47,5.379375,36,FIG
W100,GW,13.45,4.107375,36,FIG
W101,GW,10.56,3.74025,36,FIG
X7,GW,9.86,3.793875,36,FIG
X33,GW,10.41,3.793125,36,FIG
X149,GW,12.9,3.42,36,FIG
W49,GW,8.48,2.2851,36,FIG
A29,GW,8.74,2.4489,36,FIG
W25,GW,8.88,2.6253,36,FIG
X21,GW,9.11,2.655,36,FIG
WW26,GW,9.17,2.5623,36,FIG
L69,GW,9.74,2.8674,36,FIG
W85,GW,10.72,2.5857,36,FIG
L29,GW,12.81,3.2706,36,FIG
X39,GW,13.47,3.3453,36,FIG
X150,GW,18.77,5.1174,36,FIG
J11,GW,13.73,3.9402,36,FIG
X66,GW,10.74,3.6738,36,FIG
X82,GW,18.57,4.6962,36,FIG
L19,CS,7.88,0.8685,20,FIG
R68,CS,13.04,1.26825,20,FIG
W67,CS,14.78,1.55475,20,FIG
X34,CS,12.39,1.331625,20,FIG
W6,CS,8.29,0.866625,20,FIG
W109,CS,8.43,0.885375,20,FIG
WW29,CS,9.46,0.952875,20,FIG
X57,CS,14.61,1.35225,20,FIG
X78,CS,13.84,1.54275,20,FIG
X108,CS,10.52,1.028625,20,FIG
W46,CS,9.12,0.957,20,FIG
W59,CS,9.6,1.053375,20,FIG
W103,CS,14.16,1.44975,20,FIG
L19,CS,7.88,2.05875,28,FIG
R68,CS,13.04,2.3895,28,FIG
W67,CS,14.78,2.797125,28,FIG
X34,CS,12.39,2.4885,28,FIG
W6,CS,8.29,2.139,28,FIG
W18,CS,11.87,2.262375,28,FIG
W109,CS,8.43,2.308875,28,FIG
WW29,CS,9.46,2.257125,28,FIG
