ID,Site,Mass_g,Resp_mLperHr,Temp ,Season,FIG
A26,CRG,9.94,1.1058,20,Spring,FIG
L33,CRG,6.48,0.5883,20,Spring,FIG
L71-A,CRG,11.13,0.9708,20,Spring,FIG
W101,CRG,4.93,0.6375,20,Spring,FIG
W72,CRG,4.73,0.5817,20,Spring,FIG
W93-A,CRG,9.39,0.9714,20,Spring,FIG
WW6,CRG,9.56,0.9513,20,Spring,FIG
A26,CRG,9.94,3.60225,36,Spring,FIG
L33,CRG,6.48,2.39025,36,Spring,FIG
L71-A,CRG,11.13,3.62925,36,Spring,FIG
W101,CRG,4.93,1.91025,36,Spring,FIG
W72,CRG,4.73,2.00175,36,Spring,FIG
W93-A,CRG,9.39,3.3765,36,Spring,FIG
WW6,CRG,9.56,3.241125,36,Spring,FIG
W93-B,CRG,10.58,0.820125,20,Summer,FIG
W12,CRG,10.66,0.934125,20,Summer,FIG
W115,CRG,7.79,0.50025,20,Summer,FIG
X60,CRG,9.85,0.645,20,Summer,FIG
L66,CRG,10.19,0.652875,20,Summer,FIG
L71-B,CRG,13.36,0.977625,20,Summer,FIG
WW19,CRG,12.46,1.2285,20,Summer,FIG
A30,CRG,8.47,0.61725,20,Summer,FIG
W31,CRG,10.05,0.7485,20,Summer,FIG
X91,CRG,9.55,0.52275,20,Summer,FIG
X53,CRG,10.73,0.783,20,Summer,FIG
W89,CRG,10.66,0.65025,20,Summer,FIG
X57,CRG,10.01,0.7659,20,Summer,FIG
W92,CRG,10.18,0.7911,20,Summer,FIG
W116,CRG,12.53,1.04925,20,Summer,FIG
W93-B,CRG,10.58,3.949125,36,Summer,FIG
W12,CRG,10.66,4.32675,36,Summer,FIG
W115,CRG,7.79,2.93925,36,Summer,FIG
X60,CRG,9.85,3.519,36,Summer,FIG
L66,CRG,10.19,2.8635,36,Summer,FIG
L71-B,CRG,13.36,3.562875,36,Summer,FIG
WW19,CRG,12.46,2.8965,36,Summer,FIG
A17,CRG,11.14,3.627,36,Summer,FIG
A30,CRG,8.47,2.9367,36,Summer,FIG
W31,CRG,10.05,3.294,36,Summer,FIG
X91,CRG,9.55,2.3427,36,Summer,FIG
X53,CRG,10.73,3.0933,36,Summer,FIG
W89,CRG,10.66,3.0654,36,Summer,FIG
X57,CRG,10.01,3.18465,36,Summer,FIG
W92,CRG,10.18,2.39355,36,Summer,FIG
W116,CRG,12.53,2.6757,36,Summer,FIG
A17,CS,7,2.334375,20,Spring,FIG
W54,CS,7.31,0.78075,20,Spring,FIG
W23,CS,9.13,1.252125,20,Spring,FIG
W18,CS,6.87,1.101375,20,Spring,FIG
W63,CS,7.9,1.293375,20,Spring,FIG
L16,CS,11.06,0.435375,20,Spring,FIG
W15,CS,10.37,1.23825,20,Spring,FIG
R71,CS,6.88,0.60675,20,Spring,FIG
WW40,CS,7,0.57675,20,Spring,FIG
X40,CS,6.38,0.653625,20,Spring,FIG
X114,CS,9.68,2.008875,20,Spring,FIG
A17,CS,7,6.419625,36,Spring,FIG
W54,CS,7.31,4.21425,36,Spring,FIG
X114,CS,9.68,5.4855,36,Spring,FIG
X114,CS,9.68,2.966625,36,Spring,FIG
W23,CS,9.13,4.576125,36,Spring,FIG
W18,CS,6.87,4.511625,36,Spring,FIG
W63,CS,7.9,4.313625,36,Spring,FIG
L16,CS,11.06,6.723,36,Spring,FIG
W15,CS,10.37,6.261375,36,Spring,FIG
R71,CS,6.88,4.326,36,Spring,FIG
WW40,CS,7,2.249625,36,Spring,FIG
X40,CS,6.38,4.434375,36,Spring,FIG
L19,CS,7.88,0.8685,20,Summer,FIG
R68,CS,13.04,1.26825,20,Summer,FIG
W67,CS,14.78,1.55475,20,Summer,FIG
X34,CS,12.39,1.331625,20,Summer,FIG
W6,CS,8.29,0.866625,20,Summer,FIG
W109,CS,8.43,0.885375,20,Summer,FIG
WW29,CS,9.46,0.952875,20,Summer,FIG
X57,CS,14.61,1.35225,20,Summer,FIG
X78,CS,13.84,1.54275,20,Summer,FIG
X108,CS,10.52,1.028625,20,Summer,FIG
W46,CS,9.12,0.957,20,Summer,FIG
W59,CS,9.6,1.053375,20,Summer,FIG
W103,CS,14.16,1.44975,20,Summer,FIG
L19,CS,7.88,3.867375,36,Summer,FIG
R68,CS,13.04,4.33275,36,Summer,FIG
W6,CS,8.29,4.027125,36,Summer,FIG
W109,CS,8.43,3.812625,36,Summer,FIG
WW29,CS,9.46,3.6585,36,Summer,FIG
X78,CS,13.84,4.677,36,Summer,FIG
X108,CS,10.52,3.681375,36,Summer,FIG
W46,CS,9.12,4.10325,36,Summer,FIG
W59,CS,9.6,4.025625,36,Summer,FIG
